SAGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6000,California,55,"        Funds, trusts, and other financial vehicles",300.2,514.8,572.2,600.3,480.6,649.6,1057.2,1122.8,807.4,2946.7,1395,270.6,155.3,148.4,35.7,118.6,143.2,744.3,637.4,692.8,708.2,119,367.5,324.9,3291.8,2311.6,2625.2,2782.4
6000,California,56,      Real estate and rental and leasing,162615.3,168241.7,177605,185071.6,193020.7,203599.9,207750,213921.7,232152.3,241546.9,262929.7,285546,283805.9,292042.7,300884.5,311052.2,324392.1,332061,338156.9,348811.4,372281.7,398510,420353.2,430178.4,463927.7,499657.3,541957.8,575755
6000,California,57,        Real estate,150525,155270.4,163311.1,169796.9,176910.3,188421.2,192208.9,197160.9,213331.9,217975.6,240698.6,260515.3,260900,268226.1,275747,281737.6,294583.5,304474.7,312214.2,325877.3,344425.2,367579.5,389348.7,401483.6,433396.2,467504.5,500560.9,531434
6000,California,58,        Rental and leasing services and lessors of nonfinancial intangible assets,12090.4,12971.3,14293.8,15274.7,16110.4,15178.7,15541.1,16760.8,18820.4,23571.3,22231.1,25030.7,22905.9,23816.6,25137.6,29314.7,29808.6,27586.3,25942.7,22934.2,27856.5,30930.5,31004.4,28694.9,30531.5,32152.7,41396.9,44321
6000,California,59,    Professional and business services,125662.5,137891.8,154361.3,181590.8,181732.7,179986.3,186874.3,195737.9,207055.2,222898,241602,261458.9,245211.2,255299.9,272620.6,294489.6,293878.2,313029.8,336926.3,348486.8,367934.5,398539.8,424603.8,443436.2,501163.6,534667.1,557933.2,600297.7
6000,California,60,"      Professional, scientific, and technical services",75541.6,82624.3,94751.7,111355.6,112848.3,113261.9,117199.3,121770.6,131249,142645.6,155502.7,174892.3,164249.6,170232.1,182940.2,200032,197060.7,210657.3,228951.5,232592.8,244622.3,266015.6,286105.1,302233.6,338994.4,352730.2,369165.9,396118.4
6000,California,61,        Legal services,13456.5,15363.4,16238.2,17730,19543.7,20355.6,21839,23443.3,25913.8,27169.9,29454.7,33923.1,30316.1,29226,30972.4,30751.5,30860.5,32199.3,34441.8,36330.3,37184.9,38210.8,40423.2,40462.6,46575.3,49375.3,51671.5,56179.2
6000,California,62,        Computer systems design and related services,12894.2,14345.7,17410.2,23224.7,22424.9,19563.4,21732.6,21574.3,23355.6,25364.4,28841.7,31566.1,31474.4,34593.8,39801.3,51685.7,45523.4,49678.9,55200.1,59915.8,65932.1,73988.9,80082,87731.5,99299.2,90938,94875.3,106966.2
6000,California,63,"        Miscellaneous professional, scientific, and technical services",49191,52915.2,61103.3,70400.9,70879.7,73343,73627.8,76753,81979.6,90111.2,97206.2,109403.1,102459.1,106412.2,112166.5,117594.8,120676.7,128779.2,139309.5,136346.7,141505.3,153815.9,165599.9,174039.6,193120,212416.9,222619.1,232973
6000,California,64,      Management of companies and enterprises,20541.7,23939.5,25971.5,32061.6,27984.7,25297.7,25447.2,26220.1,24835.6,25692.3,26717.5,26423,25223.1,26557.6,28542,30044,33985.5,35790,37699.2,39169.3,40198.2,45765.8,46201.7,49833.9,57859.4,64274.7,69214.5,84262.5
6000,California,65,      Administrative and support and waste management and remediation services,29579.1,31328,33638.1,38173.6,40899.8,41426.7,44227.7,47747.1,50970.5,54560.1,59381.8,60143.6,55738.6,58510.2,61138.4,64413.5,62832.1,66582.4,70275.6,76724.7,83114,86758.4,92297.1,91368.7,104309.7,117662.2,119552.9,119916.8
6000,California,66,        Administrative and support services,27212.8,28826.5,30776.8,35214.9,37610.9,37869,40457.2,43893.1,46956.1,50856.9,55081.8,55626.2,51050.1,52879.1,56116.1,59285.3,57512.9,60885.6,64486.9,70625.7,76370,79429,84571.9,83337,95564.5,108102.8,108863.9,108626
6000,California,67,        Waste management and remediation services,2366.4,2501.5,2861.2,2958.7,3288.8,3557.6,3770.5,3854,4014.4,3703.2,4300,4517.5,4688.5,5631.1,5022.3,5128.2,5319.2,5696.8,5788.7,6099,6744.1,7329.4,7725.2,8031.7,8745.2,9559.5,10689.1,11290.8
